NO.,Nama Anggota,No. Rekening,Alamat,Kota,Tempat Lahir,Tanggal Lahir,Pekerjaan,Jenis Identitas,Nomor Identitas
1,M.sabilul M.QQ H.N,01.1.0188,Jl. Merpati No. 12,Tangerang,Jakarta,3/15/1995,Karyawan Swasta,KTP,3174091503950000
2,Safarina M QQ.Huda,01.1.0186,Jl. Melati No. 45,Depok,Bandung,7/22/1998,Guru,KTP,3275012207980000
3,Galih Aghni Wicaksono,02.1.0006,Jl. Kenanga No. 8,Bekasi,Surabaya,1/9/1992,Freelancer,SIM,2101199201090000
4,Nayla F.R QQ Choirudin,01.1.0080,Jl. Cempaka No. 77,Bogor,Jakarta,5/18/2000,Mahasiswa,KTP,3174101805000000
5,Jurdan M QQ Choirudin,01.1.0081,Jl. Flamboyan No. 3,Jakarta,Medan,11/4/1996,Pengusaha,KTP,1271030411960000
6,Amrina QQ Choirudin,01.1.0082,Jl. Anggrek No. 17,Bandung,Bandung,9/25/1999,Perawat,KTP,3275022509990000
7,M.Zaki QQ Ahmad Nurhuda,02.1.0010,Jl. Mawar No. 101,Bekasi,Yogyakarta,4/12/1993,Dosen,SIM,2101199304120000
8,A.Kanza QQ Ahmad Nurhuda,02.1.0011,Jl. Cemara No. 21,Tangerang,Semarang,12/30/2001,Mahasiswa,KTP,3374053012010000
9,M.Fatih QQ Ahmad Nurhuda,02.1.0012,Jl. Teratai No. 2,Tangerang,Jakarta,8/16/1997,Designer,Paspor,B12345678
10,Voila Deqsa QQ Tri Putra,02.1.0009,Jl. Dahlia No. 88,Depok,Malang,6/1/2002,Pelajar,KTP,3578030106020000
